Muscle	%ST_H(Tirrell)	%ST_H(Yamaguchi)	%ST_C	%FL
"NOTES: Data from Tirrell et al. 2012 JEB, (1) glut_min=glut_med, (2) gem=(g. inferior+g. superior+o. internus)/3, (3) chimp TFL = 0.5 and chimp pertert = fdl, (4) per_tert=per_long; %FL = Lo/(Lo+Ls) from Arnold et al. 2010"				
glut_med1_r	0.86	0.500	0.261	0.5615
glut_med2_r	0.86	0.500	0.261	0.5252
glut_med3_r	0.86	0.500	0.261	0.6134
glut_min1_r	0.86	0.500	0.161	0.8095
glut_min2_r	0.86	0.500	0.161	0.6829
glut_min3_r	0.86	0.500	0.161	0.427
semimem_r	0.786	0.500	0.409	0.3544
semiten_r	0.605	0.500	0.203	0.4406
bifemlh_r	0.83	0.663	0.402	0.2333
bifemsh_r	0.687	0.660	0.295	0.514
sar_r	0.674	0.497	0.244	0.7856
add_long_r	0.617	0.575	0.487	0.4538
add_brev_r	0.694	0.475	0.406	0.741
add_mag1_r	0.761	0.567	0.416	0.7114
add_mag2_r	0.761	0.567	0.416	0.7419
add_mag3_r	0.761	0.567	0.416	0.6629
tfl_r	0.628	0.500	0.5	0.1743
pect_r	0.632	0.475	0.199	0.9925
grac_r	0.655	0.525	0.2	0.5743
glut_max1_r	0.752	0.512	0.049	0.7462
glut_max2_r	0.752	0.512	0.049	0.6826
glut_max3_r	0.752	0.512	0.049	0.7046
iliacus_r	0.767	0.497	0.525	0.5323
psoas_r	0.767	0.497	0.525	0.5467
quad_fem_r	0.925	0.500	0.498	0.6923
gem_r	0.736	0.500	0.369	0.381
peri_r	0.843	0.500	0.214	0.1844
rect_fem_r	0.497	0.395	0.458	0.1801
vas_med_r	0.528	0.506	0.335	0.4641
vas_int_r	0.63	0.500	0.533	0.4829
vas_lat_r	0.483	0.444	0.436	0.4323
med_gas_r	0.579	0.513	0.183	0.1128
lat_gas_r	0.654	0.493	0.136	0.1338
soleus_r	0.681	0.814	0.513	0.135
tib_post_r	0.8	0.550	0.403	0.1188
flex_dig_r	0.546	0.500	0.227	0.1296
flex_hal_r	0.543	0.450	0.146	0.1064
tib_ant_r	0.794	0.723	0.288	0.2201
per_brev_r	0.619	0.538	0.402	0.2332
per_long_r	0.556	0.600	0.422	0.1328
per_tert_r	0.556	0.500	0.227	0.4413
ext_dig_r	0.549	0.437	0.424	0.1843
ext_hal_r	0.83	0.500	0.158	0.1092
