NOTES: Data from Tirrell et al. 2012 JEB, (1) glmin=glmed, (2) gem=(g. inferior+g. superior+o. internus)/3, (3) chimp TFL = 0.5 and chimp pertert = fdl, (4) pertert=perlong; %FL = Lo/(Lo+Ls) from Arnold et al. 2010			
glmed1_l	0.86	0.500	0.261	0.5615
glmed2_l	0.86	0.500	0.261	0.5252
glmed3_l	0.86	0.500	0.261	0.6134
glmin1_l	0.86	0.500	0.161	0.8095
glmin2_l	0.86	0.500	0.161	0.6829
glmin3_l	0.86	0.500	0.161	0.427
semimem_l	0.786	0.500	0.409	0.3544
semiten_l	0.605	0.500	0.203	0.4406
bflh_l	0.83	0.663	0.402	0.2333
bfsh_l	0.687	0.660	0.295	0.514
sart_l	0.674	0.497	0.244	0.7856
addlong_l	0.617	0.575	0.487	0.4538
addbrev_l	0.694	0.475	0.406	0.741
addmag1_l	0.761	0.567	0.416	0.7114
addmagMid_l	0.761	0.567	0.416	0.7419
addmag3_l	0.761	0.567	0.416	0.6629
tfl_l	0.628	0.500	0.5	0.1743
pect_l	0.632	0.475	0.199	0.9925
grac_l	0.655	0.525	0.2	0.5743
glmax1_l	0.752	0.512	0.049	0.7462
glmax2_l	0.752	0.512	0.049	0.6826
glmax3_l	0.752	0.512	0.049	0.7046
iliacus_l	0.767	0.497	0.525	0.5323
psoas_l	0.767	0.497	0.525	0.5467
quadfem_l	0.925	0.500	0.498	0.6923
gem_l	0.736	0.500	0.369	0.381
peri_l	0.843	0.500	0.214	0.1844
recfem_l	0.497	0.395	0.458	0.1801
vasmed_l	0.528	0.506	0.335	0.4641
vasint_l	0.63	0.500	0.533	0.4829
vaslat_l	0.483	0.444	0.436	0.4323
gasmed_l	0.579	0.513	0.183	0.1128
gaslat_l	0.654	0.493	0.136	0.1338
soleus_l	0.681	0.814	0.513	0.135
tibpost_l	0.8	0.550	0.403	0.1188
fdl_l	0.546	0.500	0.227	0.1296
fhl_l	0.543	0.450	0.146	0.1064
tibant_l	0.794	0.723	0.288	0.2201
perbrev_l	0.619	0.538	0.402	0.2332
perlong_l	0.556	0.600	0.422	0.1328
pertert_l	0.556	0.500	0.227	0.4413
edl_l	0.549	0.437	0.424	0.1843
ehl_l	0.83	0.500	0.158	0.1092
glmed1_r	0.86	0.500	0.261	0.5615
glmed2_r	0.86	0.500	0.261	0.5252
glmed3_r	0.86	0.500	0.261	0.6134
glmin1_r	0.86	0.500	0.161	0.8095
glmin2_r	0.86	0.500	0.161	0.6829
glmin3_r	0.86	0.500	0.161	0.427
semimem_r	0.786	0.500	0.409	0.3544
semiten_r	0.605	0.500	0.203	0.4406
bflh_r	0.83	0.663	0.402	0.2333
bfsh_r	0.687	0.660	0.295	0.514
sart_r	0.674	0.497	0.244	0.7856
addlong_r	0.617	0.575	0.487	0.4538
addbrev_r	0.694	0.475	0.406	0.741
addmag1_r	0.761	0.567	0.416	0.7114
addmagMid_r	0.761	0.567	0.416	0.7419
addmag3_r	0.761	0.567	0.416	0.6629
tfl_r	0.628	0.500	0.5	0.1743
pect_r	0.632	0.475	0.199	0.9925
grac_r	0.655	0.525	0.2	0.5743
glmax1_r	0.752	0.512	0.049	0.7462
glmax2_r	0.752	0.512	0.049	0.6826
glmax3_r	0.752	0.512	0.049	0.7046
iliacus_r	0.767	0.497	0.525	0.5323
psoas_r	0.767	0.497	0.525	0.5467
quadfem_r	0.925	0.500	0.498	0.6923
gem_r	0.736	0.500	0.369	0.381
peri_r	0.843	0.500	0.214	0.1844
recfem_r	0.497	0.395	0.458	0.1801
vasmed_r	0.528	0.506	0.335	0.4641
vasint_r	0.63	0.500	0.533	0.4829
vaslat_r	0.483	0.444	0.436	0.4323
gasmed_r	0.579	0.513	0.183	0.1128
gaslat_r	0.654	0.493	0.136	0.1338
soleus_r	0.681	0.814	0.513	0.135
tibpost_r	0.8	0.550	0.403	0.1188
fdl_r	0.546	0.500	0.227	0.1296
fhl_r	0.543	0.450	0.146	0.1064
tibant_r	0.794	0.723	0.288	0.2201
perbrev_r	0.619	0.538	0.402	0.2332
perlong_r	0.556	0.600	0.422	0.1328
pertert_r	0.556	0.500	0.227	0.4413
edl_r	0.549	0.437	0.424	0.1843
ehl_r	0.83	0.500	0.158	0.1092
obtext_r	0.5	 0.5	 0.5	 0.5
piri_r	0.843	0.500	0.214	0.1844
obtext_l	0.5	 0.5	 0.5	 0.5
piri_l	0.843	0.500	0.214	0.1844
tricox_r	0.5	 0.5	 0.5	 0.5
tricox_l	0.5	 0.5	 0.5	 0.5
